Date,Brent.USD,Brent.GBP
2020-01-14,64.58,49.64
2020-01-13,64.1,49.39
2020-01-10,66.33,50.79
2020-01-09,66.3,50.81
2020-01-08,67.44,51.48
2020-01-07,68.72,52.38
2020-01-06,69.82,53.05
2020-01-03,68.42,52.34
2020-01-02,66.16,50.17
2019-12-31,66.52,50.22
2019-12-30,68.33,52.1
2019-12-27,69.75,53.28
2019-12-24,68.68,52.98
2019-12-23,67.78,52.44
2019-12-20,67.38,51.64
2019-12-19,68.54,52.61
2019-12-18,68.49,52.4
2019-12-17,68.41,52.08
2019-12-16,67.99,50.99
2019-12-13,67.77,50.78
2019-12-12,66.91,51
2019-12-11,65.36,49.6
2019-12-10,66.61,50.58
2019-12-09,66.82,50.79
2019-12-06,66.97,51.09
2019-12-05,66.18,50.31
2019-12-04,65.47,49.94
2019-12-03,63.24,48.67
2019-12-02,63.61,49.23
2019-11-29,62.89,48.62
2019-11-28,64.71,50.15
2019-11-27,64.9,50.4
2019-11-26,65.06,50.67
2019-11-25,64.61,50.06
2019-11-22,64.73,50.45
2019-11-21,64.48,49.89
2019-11-20,63.57,49.23
2019-11-19,61.96,47.92
2019-11-18,62.35,48.09
2019-11-15,63.26,49.02
2019-11-14,62.47,48.59
2019-11-13,62.48,48.66
2019-11-12,62.28,48.51
2019-11-11,62.38,48.45
2019-11-08,61.58,48.13
2019-11-07,62.45,48.71
2019-11-06,62.03,48.18
2019-11-05,62.6,48.65
2019-11-04,62.55,48.42
2019-11-01,65.37,50.48
2019-10-31,59.15,45.71
2019-10-30,60.03,46.64
2019-10-29,61.14,47.39
2019-10-28,60.47,47.03
2019-10-25,61.79,48.14
2019-10-24,61.66,47.99
2019-10-23,60.36,46.86
2019-10-22,60.37,46.77
2019-10-21,58.81,45.29
2019-10-18,59.83,46.38
2019-10-17,58.91,45.88
2019-10-16,59.5,46.47
2019-10-15,59.46,46.54
2019-10-14,58.96,46.86
2019-10-11,60.99,48.08
2019-10-10,59.02,48.05
2019-10-09,59.81,48.96
2019-10-08,58.34,47.76
2019-10-07,60.04,48.73
2019-10-04,58.94,47.94
2019-10-03,57.74,46.55
2019-10-02,57.99,47.13
2019-10-01,59.88,48.99
2019-09-30,60.86,49.39
2019-09-27,62.65,50.89
2019-09-26,62.06,50.31
2019-09-25,62.21,50.25
2019-09-24,63.97,51.27
2019-09-23,64.26,51.7
2019-09-20,64.68,51.73
2019-09-19,64.56,51.69
2019-09-18,64.18,51.41
2019-09-17,65.62,52.57
2019-09-16,68.23,54.94
2019-09-13,61.1,49.04
2019-09-12,60.74,49.25
2019-09-11,63,51.03
2019-09-10,64.62,52.31
2019-09-09,63.7,51.61
2019-09-06,61.23,49.72
2019-09-05,62.68,50.86
2019-09-04,60.8,49.86
2019-09-03,58,47.96
2019-09-02,58.52,48.51
2019-08-30,59.09,48.52
2019-08-29,60.58,49.64
2019-08-28,60.51,49.52
2019-08-27,58.32,47.51
2019-08-23,58.39,47.57
2019-08-22,59.53,48.59
2019-08-21,60.7,50.04
2019-08-20,59.31,48.89
2019-08-19,59.14,48.74
2019-08-16,58.14,47.88
2019-08-15,57.55,47.51
2019-08-14,57.89,47.96
2019-08-13,60.32,49.97
2019-08-12,57.39,47.49
2019-08-09,57.68,47.75
2019-08-08,56.57,46.62
2019-08-07,55.18,45.4
2019-08-06,58.74,48.27
2019-08-05,59.48,49
2019-08-02,61.16,50.47
2019-08-01,62.47,51.42
2019-07-31,63.97,52.24
2019-07-30,63.1,51.93
2019-07-29,62.49,51.1
2019-07-26,62.19,50.21
2019-07-25,63.34,50.69
2019-07-24,63.97,51.18
2019-07-23,62.8,50.49
2019-07-22,62.75,50.21
2019-07-19,61.34,49.06
2019-07-18,60.98,48.85
2019-07-17,63.79,51.32
2019-07-16,65.96,53.12
2019-07-15,66.78,53.37
2019-07-12,67,53.34
2019-07-11,67.41,53.77
2019-07-10,66.71,53.39
2019-07-09,64.22,51.52
2019-07-08,65.1,52.02
2019-07-05,64.45,51.53
2019-07-04,63.79,50.73
2019-07-03,63.2,50.31
2019-07-02,62.62,49.72
2019-07-01,64.88,51.28
2019-06-28,66.22,52.03
2019-06-27,66.02,52.08
2019-06-26,66.74,52.65
2019-06-25,66.02,51.9
2019-06-24,64.86,50.97
2019-06-21,66.1,52.06
2019-06-20,65.04,51.21
2019-06-19,62.52,49.49
2019-06-18,63.12,50.33
2019-06-17,62.37,49.67
2019-06-14,63.17,50.1
2019-06-13,62.93,49.61
2019-06-12,62.28,48.95
2019-06-11,64.19,50.47
2019-06-10,64.45,50.79
2019-06-07,64.61,50.65
2019-06-06,62.51,49.17
2019-06-05,62.03,48.72
2019-06-04,63.64,50.21
2019-06-03,63.28,50.1
2019-05-31,65.52,51.98
2019-05-30,68.08,54.07
2019-05-29,69.31,54.87
2019-05-28,70.47,55.6
2019-05-24,68.4,53.89
2019-05-23,68.41,54
2019-05-22,71.75,56.68
2019-05-21,72.49,56.7
2019-05-20,73.15,57.44
2019-05-17,73.73,57.9
2019-05-16,74.76,58.45
2019-05-15,73.55,57.17
2019-05-14,72.59,56.2
2019-05-13,72.37,55.72
2019-05-10,71.94,55.2
2019-05-09,70.27,53.97
2019-05-08,71.13,54.72
2019-05-07,70.76,54.22
2019-05-03,72.06,54.93
2019-05-02,70.28,53.92
2019-05-01,71.95,55
2019-04-30,72.5,55.62
2019-04-29,71.95,55.68
2019-04-26,71.11,54.97
2019-04-25,74.38,57.63
2019-04-24,73.66,56.85
2019-04-23,73.74,56.99
2019-04-18,70.92,54.52
2019-04-17,71.24,54.59
2019-04-16,70.96,54.36
2019-04-15,70.82,54
2019-04-12,71.59,54.64
2019-04-11,71.26,54.46
2019-04-10,71.62,54.72
2019-04-09,70.76,54.24
2019-04-08,71.22,54.58
2019-04-05,70.18,53.94
2019-04-04,69.81,53.37
2019-04-03,69.16,52.56
2019-04-02,69.67,53.46
2019-04-01,69.22,52.66
2019-03-29,68.07,52.24
2019-03-28,66.44,50.77
2019-03-27,67.61,51.25
2019-03-26,67.78,51.3
2019-03-25,67.04,50.79
2019-03-22,66.22,50.09
2019-03-21,68.03,52.04
2019-03-20,68.27,51.77
2019-03-19,67.44,50.85
2019-03-18,66.81,50.54
2019-03-15,66.19,49.85
2019-03-14,66.34,49.94
2019-03-13,66.18,50.03
2019-03-12,65.48,50
2019-03-11,65.25,49.82
2019-03-08,63.42,48.72
2019-03-07,64.71,49.33
2019-03-06,64.32,48.91
2019-03-05,64.34,49.07
2019-03-04,64.92,49.29
2019-03-01,63.81,48.18
2019-02-28,65.13,48.97
2019-02-27,65.43,49.06
2019-02-26,64.45,48.68
2019-02-25,64.1,49.06
2019-02-22,67.14,51.42
2019-02-21,67.2,51.43
2019-02-20,66.92,51.22
2019-02-19,65.87,50.54
2019-02-18,66.47,51.42
2019-02-15,65.86,51.26
2019-02-14,63.96,50.04
2019-02-13,63.81,49.53
2019-02-12,62.62,48.61
2019-02-11,61.26,47.62
2019-02-08,62.04,47.93
2019-02-07,60.88,46.93
2019-02-06,62.36,48.1
2019-02-05,61.63,47.63
2019-02-04,62.33,47.64
2019-02-01,62.05,47.39
2019-01-31,62.26,47.33
2019-01-30,62.4,47.74
2019-01-29,61.45,46.74
2019-01-28,59.66,45.35
2019-01-25,61.57,46.75
2019-01-24,61.03,46.79
2019-01-23,61.04,46.73
2019-01-22,60.91,47
2019-01-21,62.38,48.38
2019-01-18,62.07,48.09
2019-01-17,59.78,46.31
2019-01-16,59.97,46.63
2019-01-15,58.69,45.83
2019-01-14,58.98,45.68
